I
1150 Version - data cycle 1911, build 20250921, metadata MSAXP1150. FMS
10  RW13 K7  2IS M 180 000  0 017 000  0
10  RW31 K7  2IS M 180 000  0 017 000  0
 3   SZW K7  2J9 M 180 000  0 033 000  0
10  RW17 K4  2K4 M 180 000  0 038 000  0
10  RW35 K4  2K4 M 180 000  0 038 000  0
 3   CNU K3  2K7 M 180 000  0 027 000  0
 3   MEM K7  2M8 M 135 000  0 025 000  0 151 000  0 212 000  0
10  RW18 K7  2M8 M 180 000  0 025 000  0
10  RW36 K7  2M8 M 180 000  0 025 000  0
11 OBIBE K5  2P2 M 180 000  0 023 000  0
10  RW18 K5  2R2 M 180 000  0 031 000  0
10  RW36 K5  2R2 M 180 000  0 031 000  0
10  RW36 K7  2R4 M 180 000  0 026 000  0
10  RW06 K7  2R5 M 180 000  0 031 000  0
 3   AEX K4  2R6 M 180 000  0 028 000  0
10  RW18 K4  2R6 M 180 000  0 028 000  0
10  RW36 K4  2R6 M 180 000  0 028 000  0
 3   THX K4  2R9 M 180 000  0 020 000  0
10  RW02 K1  2S8 M 180 000  0 061 000  0
11 FOBAK K4  2T1 M 180 000  0 056 000  0
 3   TXO K4  2T1 M 180 000  0 059 000  0
10  RW14 K6  2W2 M 180 000  0 034 000  0
10  RW02 K6  2W5 M 180 000  0 022 000  0
10  RW11 K6  2W6 M 180 000  0 021 000  0
10  RW29 K6  2W6 M 180 000  0 021 000  0
10  RW14 K6  31E M 180 000  0 021 000  0
10  RW32 K6  31E M 180 000  0 021 000  0
10  RW12 K1  32S M 180 000  0 108 000  0
 3   ENO K6  33N M 180 000  0 017 000  0
10  RW09 K6  33N M 180 000  0 017 000  0
10  RW27 K6  33N M 180 000  0 017 000  0
11 MIPAE K2  33V M 180 000  0 142 000  0
10  RW23 K7  35A M 180 000  0 030 000  0
10  RW11 K5  35D M 180 000  0 030 000  0
10  RW29 K5  35D M 180 000  0 030 000  0
 3   ACO K5  38D M 180 000  0 036 000  0 241 000  0 312 000  0
11 CITSU K1  38S M 180 000  0 119 000  0
