APPCH:040,R,R27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2739,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R27, ,PLUMY,K7,E,A,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R27, ,PLUMY,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2410,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,S,S09, ,LLEGO,K7,P,C,E  I, ,   ,IF, ,LAL,K7,D, ,      ,2757,0109,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S09, ,AIRBS,K7,P,C,E  F, ,   ,CF, ,LAL,K7,D, ,      ,2757,0049,0957,0060,+,01400,     ,     , ,   ,    ,   ,LAL,K7,D, , ,0, ,S;
APPCH:021,S,S09, ,UDATE,K7,P,C,E S , ,   ,CF, ,LAL,K7,D, ,      ,2757,0028,0957,0021,+,00700,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:030,S,S09, ,HANAX,K7,P,C,EY M, ,   ,CF, ,LAL,K7,D, ,      ,2757,0011,0957,0017, ,00184,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0957,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S09, , , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,2940,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S09, ,PLUMY,K7,E,A,EY  , ,   ,CF, ,LAL,K7,D, ,      ,3298,0127,3298,0087,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,S,S09, ,PLUMY,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2467,T010,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW05 ,     ,+00139,00130,R,    , ,   ;N27590039,W082011338,0000;
RWY:RW08 ,     ,      ,00129,D,    , ,   ;N27584727,W082012628,0360;
RWY:RW09 ,     ,+00145,00132,I,ILAL,1,   ;N27592125,W082020193,0000;
RWY:RW23 ,     ,+00172,00141,R,    , ,   ;N27593552,W082003401,0000;
RWY:RW26 ,     ,      ,00132,D,    , ,   ;N27584727,W082011189,0555;
RWY:RW27 ,     ,+00175,00142,R,    , ,   ;N27592146,W082002712,0000;
