STAR:040,6,FISSK4,RW04R,CTLER,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,6,FISSK4,RW04R,CTLER,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2402,1299,2785,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,FISSK4,RW13C,HALIE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,FISSK4,RW13C,OLCYK,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,FISSK4,RW13C,TINLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,FISSK4,RW13C,CTLER,K5,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,6,FISSK4,RW13C,CTLER,K5,P,C,EE  , ,   ,FM, ,VIO,K5,D, ,      ,2402,1299,2785,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,FISSK4,RW22L,HALIE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,FISSK4,RW22L,GERMN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,FISSK4,RW22L,LNANE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,6,FISSK4,RW22L,STERE,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,6,FISSK4,RW31C,HALIE,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,6,FISSK4,RW31C,HAADN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,6,FISSK4,RW31C,HILLS,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,GSH7,FWA,FWA,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,GSH7,FWA,BAGEL,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,GSH7,FWA,GSH,K5,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,GSH7,LFD,LFD,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,GSH7,LFD,BAGEL,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,GSH7,LFD,GSH,K5,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,GSH7,ALL,GSH,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,GSH7,ALL,MEGGZ,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,GSH7,ALL,AWSUM,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,GSH7,ALL,IROCK,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,GSH7,ALL,HALIE,K5,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,GSH7,ALL,CGT,K5,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,BDF,BDF,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,BDF,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0848,0494, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,CVA,CVA,K3,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,CVA,DIPSY,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1249,0421, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MOTIF6,CVA,BDF,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,1295,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MOTIF6,CVA,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0848,0494, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,IRK,IRK,K3,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,IRK,PIA,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,0688,1324, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MOTIF6,IRK,KORTT,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0563,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MOTIF6,IRK,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0563,0423, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,LMN,LMN,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,LMN,RENZO,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0720,1922, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MOTIF6,LMN,BDF,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,0818,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MOTIF6,LMN,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0848,0494, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,MAGOO,MAGOO,K5,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,MAGOO,PIA,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,0449,0593, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MOTIF6,MAGOO,KORTT,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0563,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,MOTIF6,MAGOO,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0563,0423, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,PIA,PIA,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,PIA,KORTT,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0563,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,MOTIF6,PIA,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0563,0423, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,MOTIF6,PNT,PNT,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,MOTIF6,PNT,MOTIF,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0203,0267, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
