SID:050,4,RUSKA6,RW11,VABLI,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,RUSKA6,RW11,RUSKA,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,RUSKA6,RW29,DER29,YB,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,RUSKA6,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2860,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,RUSKA6,RW29,BELUN,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,RUSKA6,RW29,MIGIP,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,RUSKA6,RW29,LEGUL,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,RUSKA6,RW29,OTGAX,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,4,RUSKA6,RW29,TEGIT,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,4,RUSKA6,RW29,ITTSA,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,4,RUSKA6,RW29,VABLI,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,4,RUSKA6,RW29,RUSKA,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,VANDI7,RW11,DN,YB,D, ,VY  , ,010,CF, ,DN,YB,D, ,      ,0000,0000,1060,0010, ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,VANDI7,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1060,    ,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,VANDI7,RW11,PAMGA,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,VANDI7,RW11,BAXIB,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,VANDI7,RW11,VANDI,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,VANDI7,RW29,DER29,YB,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,VANDI7,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2860,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
