SID:060,2,DOBU4A,RW14,SD327,FM,P,C,E   ,L,   ,AF, ,SDG,FM,D, ,      ,3268,0300,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,DOBU4A,RW14,DOBUT,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOBU4B,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3150,    ,+,00470,     ,12000, ,   ,    ,   ,SDG,FM,D, ,B, , , ;
SID:020,2,DOBU4B,RW32, , , , ,    , ,   ,CD, ,SDG,FM,D, ,      ,    ,    ,3200,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOBU4B,RW32, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0210,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOBU4B,RW32,SDG,FM,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DOBU4B,RW32,DOBUT,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOBU4C,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1060,    ,+,00470,     ,12000,-,205,    ,   ,SDG,FM,D, ,B, , , ;
SID:030,2,DOBU4C,RW12, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOBU4C,RW12,D010X,FM,P,C,EY  , ,   ,CF, ,SDG,FM,D, ,      ,0100,0240,0100,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DOBU4C,RW12, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,DOBU4C,RW12,SD327,FM,P,C,E   ,L,   ,AF, ,SDG,FM,D, ,      ,3268,0300,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,DOBU4C,RW12,DOBUT,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOBU4F,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3010,    ,+,00470,     ,12000, ,   ,    ,   ,SDG,FM,D, ,B, , , ;
SID:020,2,DOBU4F,RW30, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3160,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOBU4F,RW30,SDG,FM,D, ,V   , ,   ,FD, ,SDG,FM,D, ,      ,0000,0000,3130,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOBU4F,RW30, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0210,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DOBU4F,RW30,SDG,FM,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,DOBU4F,RW30,DOBUT,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EPTE1J,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1210,    ,+,00520,     ,12000, ,   ,    ,   , , , , , , , , ;
SID:020,5,EPTE1J,RW12,LOMRU,FM,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EPTE1J,RW12,EPTEK,FI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EPTE1M,RW32,IBULU,FM,E,A,EY  , ,   ,CF, ,SDG,FM,D, ,      ,3134,0030,3160,0030, ,     ,     ,12000, ,   ,    ,   , , , , , , , , ;
SID:020,5,EPTE1M,RW32,BANBO,FM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EPTE1M,RW32,EPTEK,FI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EPTE1N,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1360,    ,+,00800,     ,12000, ,   ,    ,   , , , , , , , , ;
